k_nummer,bef_2007,bef_2009,bef_2013,bef_2017,bef_vekst_4,bef_vekst_8,bef_vekst_10
0101,27835,28389,29880,30790,0.030455153949129787,0.0845750114480961,0.10616130770612542
0104,28633,29588,30988,32407,0.045791919452691454,0.0952751115317021,0.13180595816016494
0105,50593,51723,53696,55127,0.02665002979737774,0.06581211453318647,0.08961714071116567
0106,71297,72760,76807,80121,0.04314710898746199,0.10116822429906547,0.1237639732387057
0111,3880,3998,4284,4517,0.05438842203548089,0.12981490745372692,0.16417525773195885
0118,1417,1420,1425,1398,-0.0189473684210526,-0.015492957746478853,-0.013408609738884913
0119,3517,3455,3587,3597,0.0027878449958183005,0.041099855282199727,0.022746659084446952
0121,659,671,691,685,-0.00868306801736618,0.02086438152011927,0.039453717754172946
0122,4994,5047,5273,5367,0.017826664138061776,0.06340400237765009,0.07468962755306374
0123,4948,5148,5474,5765,0.053160394592619564,0.11985236985236991,0.1651172190784156
0124,14329,14703,15315,15720,0.026444662095984395,0.0691695572332176,0.09707586014376446
0125,10357,10701,11195,11406,0.018847699866011647,0.06588169329969151,0.10128415564352622
0127,3413,3492,3668,3783,0.03135223555070876,0.08333333333333326,0.10840902431878119
0128,7428,7496,7860,8173,0.0398218829516539,0.09031483457844192,0.10029617662897139
0135,6654,6790,7053,7398,0.04891535516801371,0.08954344624447708,0.11181244364292153
0136,13839,14105,14967,15747,0.052114652234916736,0.11641261963842608,0.13787123347062646
0137,4152,4437,4857,5335,0.09841465925468396,0.2023890015776426,0.2849229287090558
0138,4578,4661,4980,5557,0.11586345381526097,0.19223342630336848,0.2138488422892093
0211,13414,14095,15605,17188,0.10144184556231983,0.21943951755941815,0.2813478455345162
0213,27247,27699,29307,30698,0.04746306343194462,0.108271056716849,0.1266561456307116
0214,14873,15863,17568,19288,0.09790528233151186,0.21591123999243522,0.2968466348416594
0215,13890,14435,15469,15743,0.01771284504492865,0.09061309317630761,0.13340532757379409
0216,16791,17129,17998,18869,0.048394266029558874,0.10158211220736768,0.12375677446250966
0217,23993,24612,25963,26988,0.03947925894542226,0.09653827401267678,0.124828074855166
0219,106932,109700,116677,124008,0.06283157777454007,0.13042844120328168,0.15969027045225004
0220,52210,53756,57418,60781,0.05857048312375901,0.13068308653917704,0.16416395326565802
0221,13587,14158,15260,16162,0.059108781127129806,0.14154541601921178,0.18951939353794067
0226,13807,14942,16363,17665,0.0795697610462629,0.18223798688261272,0.2794234808430507
0227,9799,10139,10810,11555,0.06891766882516182,0.13965874346582496,0.1792019593836105
0228,15062,15345,16420,17730,0.07978075517661387,0.15542521994134906,0.17713451068915154
0229,9660,10153,10560,10927,0.0347537878787878,0.07623362552940027,0.13115942028985517
0230,31365,32300,34320,37406,0.0899184149184149,0.15808049535603708,0.19260322014984865
0231,44577,46668,50532,53276,0.05430222433309595,0.1415959544013028,0.1951454786100455
0233,19968,20555,21971,23213,0.05652906103500066,0.12931160301629774,0.16251001602564097
0234,5353,5567,6264,6546,0.04501915708812265,0.17585773306987607,0.22286568279469465
0235,25966,28138,31743,35102,0.1058186056768422,0.24749449143507007,0.35184472001848577
0236,18219,18629,19819,21241,0.07174933144961915,0.1402114982017284,0.1658707942258082
